Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1379980800000)/,1JANATAMF,5.6,5.8,5.6,5.6,0,0,193000,0,0,0,24/09/2013 00:00:00,1379980800000
/Date(1380067200000)/,1JANATAMF,5.6,5.7,5.5,5.5,0,0,233000,0,0,0,25/09/2013 00:00:00,1380067200000
/Date(1380153600000)/,1JANATAMF,5.6,5.7,5.6,5.6,0,0,64000,0,0,0,26/09/2013 00:00:00,1380153600000
/Date(1380412800000)/,1JANATAMF,5.7,5.9,5.7,5.8,0,0,274500,0,0,0,29/09/2013 00:00:00,1380412800000
/Date(1380499200000)/,1JANATAMF,5.9,6,5.7,5.7,0,0,341500,0,0,0,30/09/2013 00:00:00,1380499200000
/Date(1380585600000)/,1JANATAMF,5.7,5.9,5.7,5.8,0,0,148000,0,0,0,01/10/2013 00:00:00,1380585600000
/Date(1380672000000)/,1JANATAMF,5.9,6,5.8,5.8,0,0,365000,0,0,0,02/10/2013 00:00:00,1380672000000
/Date(1380758400000)/,1JANATAMF,5.9,6,5.8,5.9,0,0,411500,0,0,0,03/10/2013 00:00:00,1380758400000
/Date(1381017600000)/,1JANATAMF,5.7,5.9,5.7,5.7,0,0,197500,0,0,0,06/10/2013 00:00:00,1381017600000
/Date(1381104000000)/,1JANATAMF,5.9,5.9,5.7,5.7,0,0,245000,0,0,0,07/10/2013 00:00:00,1381104000000
/Date(1381190400000)/,1JANATAMF,5.8,5.8,5.7,5.7,0,0,302500,0,0,0,08/10/2013 00:00:00,1381190400000
/Date(1381276800000)/,1JANATAMF,5.6,5.7,5.5,5.5,0,0,381000,0,0,0,09/10/2013 00:00:00,1381276800000
/Date(1381363200000)/,1JANATAMF,5.6,5.7,5.6,5.6,0,0,158500,0,0,0,10/10/2013 00:00:00,1381363200000
/Date(1382227200000)/,1JANATAMF,5.8,5.8,5.5,5.5,0,0,174000,0,0,0,20/10/2013 00:00:00,1382227200000
/Date(1382313600000)/,1JANATAMF,5.5,5.7,5.5,5.5,0,0,272000,0,0,0,21/10/2013 00:00:00,1382313600000
/Date(1382400000000)/,1JANATAMF,5.6,5.7,5.6,5.6,0,0,95000,0,0,0,22/10/2013 00:00:00,1382400000000
/Date(1382486400000)/,1JANATAMF,5.7,5.7,5.6,5.6,0,0,323000,0,0,0,23/10/2013 00:00:00,1382486400000
/Date(1382572800000)/,1JANATAMF,5.6,5.6,5.5,5.5,0,0,334000,0,0,0,24/10/2013 00:00:00,1382572800000
/Date(1382832000000)/,1JANATAMF,5.6,5.7,5.5,5.6,0,0,134000,0,0,0,27/10/2013 00:00:00,1382832000000
/Date(1382918400000)/,1JANATAMF,5.7,5.8,5.6,5.6,0,0,239000,0,0,0,28/10/2013 00:00:00,1382918400000
/Date(1383004800000)/,1JANATAMF,5.7,5.8,5.6,5.7,0,0,227000,0,0,0,29/10/2013 00:00:00,1383004800000
/Date(1383091200000)/,1JANATAMF,5.8,5.8,5.7,5.7,0,0,70500,0,0,0,30/10/2013 00:00:00,1383091200000
/Date(1383177600000)/,1JANATAMF,5.7,5.8,5.7,5.7,0,0,205500,0,0,0,31/10/2013 00:00:00,1383177600000
/Date(1383436800000)/,1JANATAMF,5.8,5.9,5.7,5.8,0,0,611000,0,0,0,03/11/2013 00:00:00,1383436800000
/Date(1383523200000)/,1JANATAMF,5.8,6,5.8,5.9,0,0,160500,0,0,0,04/11/2013 00:00:00,1383523200000
/Date(1383609600000)/,1JANATAMF,5.9,6.1,5.9,5.9,0,0,521000,0,0,0,05/11/2013 00:00:00,1383609600000
/Date(1383696000000)/,1JANATAMF,5.9,6.1,5.9,6,0,0,412500,0,0,0,06/11/2013 00:00:00,1383696000000
/Date(1383782400000)/,1JANATAMF,6.1,6.3,6,6.2,0,0,501500,0,0,0,07/11/2013 00:00:00,1383782400000
/Date(1384041600000)/,1JANATAMF,6.5,6.5,6.2,6.2,0,0,579000,0,0,0,10/11/2013 00:00:00,1384041600000
/Date(1384128000000)/,1JANATAMF,6.4,6.6,6.4,6.4,0,0,1504500,0,0,0,11/11/2013 00:00:00,1384128000000
/Date(1384214400000)/,1JANATAMF,6.6,6.7,6.1,6.3,0,0,689000,0,0,0,12/11/2013 00:00:00,1384214400000
/Date(1384300800000)/,1JANATAMF,6.3,6.6,6.2,6.4,0,0,468500,0,0,0,13/11/2013 00:00:00,1384300800000
/Date(1384387200000)/,1JANATAMF,6.5,6.6,6.4,6.5,0,0,323500,0,0,0,14/11/2013 00:00:00,1384387200000
/Date(1384646400000)/,1JANATAMF,6.5,6.5,6.2,6.4,0,0,299000,0,0,0,17/11/2013 00:00:00,1384646400000
/Date(1384732800000)/,1JANATAMF,6.3,6.4,6.3,6.3,0,0,274500,0,0,0,18/11/2013 00:00:00,1384732800000
/Date(1384819200000)/,1JANATAMF,6.3,6.4,6.3,6.3,0,0,566000,0,0,0,19/11/2013 00:00:00,1384819200000
/Date(1384905600000)/,1JANATAMF,6.4,6.6,6.4,6.4,0,0,796500,0,0,0,20/11/2013 00:00:00,1384905600000
/Date(1384992000000)/,1JANATAMF,6.4,6.6,6.4,6.5,0,0,476000,0,0,0,21/11/2013 00:00:00,1384992000000
/Date(1385251200000)/,1JANATAMF,6.5,6.5,6.3,6.3,0,0,435000,0,0,0,24/11/2013 00:00:00,1385251200000
/Date(1385337600000)/,1JANATAMF,6.4,6.4,6.2,6.2,0,0,604500,0,0,0,25/11/2013 00:00:00,1385337600000
/Date(1385424000000)/,1JANATAMF,6.2,6.3,6,6.1,0,0,505000,0,0,0,26/11/2013 00:00:00,1385424000000
/Date(1385510400000)/,1JANATAMF,6.2,6.2,6,6,0,0,291500,0,0,0,27/11/2013 00:00:00,1385510400000
/Date(1385596800000)/,1JANATAMF,6.1,6.1,6,6,0,0,137500,0,0,0,28/11/2013 00:00:00,1385596800000
/Date(1385856000000)/,1JANATAMF,6,6,5.9,5.9,0,0,106500,0,0,0,01/12/2013 00:00:00,1385856000000
/Date(1385942400000)/,1JANATAMF,6,6.1,5.9,5.9,0,0,81000,0,0,0,02/12/2013 00:00:00,1385942400000
/Date(1386028800000)/,1JANATAMF,6,6.1,6,6,0,0,163500,0,0,0,03/12/2013 00:00:00,1386028800000
/Date(1386115200000)/,1JANATAMF,6.1,6.1,6,6,0,0,62500,0,0,0,04/12/2013 00:00:00,1386115200000
/Date(1386201600000)/,1JANATAMF,6,6.1,5.9,6,0,0,138000,0,0,0,05/12/2013 00:00:00,1386201600000
/Date(1386460800000)/,1JANATAMF,5.9,6.1,5.9,6,0,0,113500,0,0,0,08/12/2013 00:00:00,1386460800000
/Date(1386547200000)/,1JANATAMF,6.1,6.3,6,6.2,0,0,419000,0,0,0,09/12/2013 00:00:00,1386547200000
/Date(1386633600000)/,1JANATAMF,6.4,6.4,6.1,6.1,0,0,271000,0,0,0,10/12/2013 00:00:00,1386633600000
/Date(1386720000000)/,1JANATAMF,6.2,6.4,6.1,6.3,0,0,245500,0,0,0,11/12/2013 00:00:00,1386720000000
/Date(1386806400000)/,1JANATAMF,6.4,6.4,6.1,6.1,0,0,237000,0,0,0,12/12/2013 00:00:00,1386806400000
/Date(1387065600000)/,1JANATAMF,6.2,6.3,6.1,6.1,0,0,191000,0,0,0,15/12/2013 00:00:00,1387065600000
/Date(1387238400000)/,1JANATAMF,6.3,6.3,6.1,6.2,0,0,236500,0,0,0,17/12/2013 00:00:00,1387238400000
/Date(1387324800000)/,1JANATAMF,6.2,6.3,6.1,6.2,0,0,113500,0,0,0,18/12/2013 00:00:00,1387324800000
/Date(1387411200000)/,1JANATAMF,6.2,6.2,6,6.1,0,0,218500,0,0,0,19/12/2013 00:00:00,1387411200000
/Date(1387670400000)/,1JANATAMF,6.1,6.2,6,6.1,0,0,209500,0,0,0,22/12/2013 00:00:00,1387670400000
/Date(1387756800000)/,1JANATAMF,6.2,6.2,6,6,0,0,175500,0,0,0,23/12/2013 00:00:00,1387756800000
/Date(1387843200000)/,1JANATAMF,6.1,6.1,6,6,0,0,167500,0,0,0,24/12/2013 00:00:00,1387843200000
/Date(1388016000000)/,1JANATAMF,6.1,6.1,6,6,0,0,119500,0,0,0,26/12/2013 00:00:00,1388016000000
/Date(1388275200000)/,1JANATAMF,6,6,5.9,5.9,0,0,188500,0,0,0,29/12/2013 00:00:00,1388275200000
/Date(1388361600000)/,1JANATAMF,5.9,6.1,5.9,6,0,0,135500,0,0,0,30/12/2013 00:00:00,1388361600000
/Date(1388534400000)/,1JANATAMF,6,6.2,6,6.1,0,0,96000,0,0,0,01/01/2014 00:00:00,1388534400000
/Date(1388620800000)/,1JANATAMF,6,6.1,6,6,0,0,126000,0,0,0,02/01/2014 00:00:00,1388620800000
/Date(1388966400000)/,1JANATAMF,6,6.1,6,6,0,0,121000,0,0,0,06/01/2014 00:00:00,1388966400000
/Date(1389052800000)/,1JANATAMF,6,6.1,5.9,6,0,0,206500,0,0,0,07/01/2014 00:00:00,1389052800000
/Date(1389139200000)/,1JANATAMF,6,6.1,6,6,0,0,74000,0,0,0,08/01/2014 00:00:00,1389139200000
/Date(1389225600000)/,1JANATAMF,6.1,6.1,6,6,0,0,262500,0,0,0,09/01/2014 00:00:00,1389225600000
/Date(1389484800000)/,1JANATAMF,6,6.2,6,6,0,0,200000,0,0,0,12/01/2014 00:00:00,1389484800000
/Date(1389571200000)/,1JANATAMF,6.1,6.1,6,6,0,0,141000,0,0,0,13/01/2014 00:00:00,1389571200000
/Date(1389744000000)/,1JANATAMF,6.1,6.1,6,6,0,0,248000,0,0,0,15/01/2014 00:00:00,1389744000000
/Date(1389830400000)/,1JANATAMF,6.1,6.2,6.1,6.1,0,0,208000,0,0,0,16/01/2014 00:00:00,1389830400000
/Date(1390089600000)/,1JANATAMF,6.2,6.3,6.1,6.2,0,0,498500,0,0,0,19/01/2014 00:00:00,1390089600000
/Date(1390176000000)/,1JANATAMF,6.2,6.3,6.2,6.2,0,0,378500,0,0,0,20/01/2014 00:00:00,1390176000000
